Company,Revenue 2022 (bn),Latest Valuation (bn),# Employees *,Revenue per Employee ($)
Automation Anywhere,"2,9","6,8",2.927,990.776
SS&C BluePrism,"0,48","1,5",1.003,478.564
UiPath,"0,892","5,3",4.319,206.529
Microsoft,2,-,-,-
Nice,"2,01","11,5",6.531,307.763
Workfusion,"0,12",1,386,310.881
Cyclone Robotics,"0,13","0,75",107,1.214.953
Samsung SDS,-,-,-,-
Nintex,"0,05","0,68",978,51.125
IBM,-,-,-,-
Laiye,"0,05","0,35",489,102.249
Pegasystems,"1,23",2,6.158,199.740
SAP,-,-,-,-
Appian,"0,44","2,9",2.399,183.410
Salesforce,-,-,,-
